episode_id,quarter,time_horizon,months_post_closure,age_band,estimation_method,data_quality,est_retrain_%_low,est_retrain_%_mid,est_retrain_%_high,est_share_similar_%_low,est_share_similar_%_mid,est_share_similar_%_high,est_underemployed_%_low,est_underemployed_%_mid,est_underemployed_%_high,est_exit_%_low,est_exit_%_mid,est_exit_%_high,est_still_seeking_%_low,est_still_seeking_%_mid,est_still_seeking_%_high,mid_sum,hard_anchors_used,math,cross_episode_priors,dominant_uncertainty
redcar_2015,2016Q1,Q1 2016 (5 months post-closure),5,all,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,1,2,4,6,10,15,30,43,50,12,20,28,25,25,25,100,"still_seeking=25% (DWP JSA stats, HIGH). 35% never claimed JSA (unknown split). Remaining 40% left JSA by Feb 2016 (not necessarily employed).","still_seeking FIXED at 25% (DWP). exit MID: 12-18% early retirement (of 35% never-claimed) + ~2-3% early ESA = 20%. retrain MID: 2% — too early for genuine occupational retraining (courses only just starting). share_similar MID: 10% — workers with portable skills (electricians, HGV, maintenance) found work quickly. underemployed MID: 100-25-20-2-10 = 43%. Sum check: 25+20+2+10+43 = 100 ✓",Hartz: re-employment wages fell 10%; 80%+ moved to lower-paying employer → underemployment dominant. Port Talbot 5-month analogue: retraining near zero at 5 months. China Shock: immediate re-employment mainly low-wage (underemployed); high-wage workers → share_similar.,"Split of the 35% who never claimed JSA — we cannot tell if they retired, were immediately re-employed, or left the UK."
redcar_2015,2016Q1,Q1 2016 (5 months post-closure),5,16-24,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,2,5,10,8,15,22,30,45,55,3,7,13,25,28,32,100,still_seeking=25% aggregate (DWP) — 16-24 cohort likely slightly higher than average as they are more persistent searchers.,"exit LOW for 16-24: no pension access; only disability/ESA route (rare at young age). MID=7%. retrain MID=5%: young workers more likely to enter training programmes early. share_similar MID=15%: more geographically mobile, some find equivalent work quickly. still_seeking MID=28%: slightly above aggregate (more choosy, longer search acceptable). underemployed = 100-7-5-15-28 = 45%. Sum: 7+5+15+28+45 = 100 ✓","China Shock: younger workers more likely to move region and find equivalent work (share_similar). Hartz: younger workers had shorter benefit duration cuts, faster re-employment. Port Talbot: average age 36 — younger workers showed faster resolution.",Very small cohort (~207 workers). Individual variation dominates; aggregate rates less reliable.
redcar_2015,2016Q1,Q1 2016 (5 months post-closure),5,25-49,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,1,3,7,6,11,17,28,42,52,8,16,24,25,28,32,100,still_seeking=25% aggregate (DWP). 25-49 cohort near aggregate.,exit MID=16%: limited pension access at this age; mainly ESA and some early leavers. retrain MID=3%: too early for full retraining; family obligations limit options. share_similar MID=11%: moderate portable skills. underemployed = 100-16-3-11-28 = 42%. Sum: 28+16+3+11+42 = 100 ✓,Hartz 25-49: re-employment at lower wages dominates. Mini-job and temp work explosion in this age group.,How many in the 45-49 subgroup accessed early pension at 5 months vs still searching.
redcar_2015,2016Q1,Q1 2016 (5 months post-closure),5,50+,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,0,1,3,4,8,13,22,35,45,20,33,42,20,23,28,100,50%+ of workers seeking work aged 45+ (DWP note). still_seeking for 50+ estimated at 23% MID — slightly below aggregate as more exit rather than seek.,"exit MID=33%: most early retirements happen immediately. 35% never claimed JSA — the 50+ cohort dominates this group. If ~65% of never-claimed are aged 50+ (proportional to workforce share): 0.65 × 35% = 22.75% of total workforce = 45.5% of 50+ cohort who never claimed. Of those, most retired → exit for 50+ is high even at 5 months. retrain MID=1%: near zero — too old, too early. share_similar MID=8%: some workers with specific expertise placed quickly. underemployed = 100-33-1-8-23 = 35%. Sum: 33+1+8+23+35 = 100 ✓",Hartz 50+: systematically pushed into pension system = EXIT. China Shock: older low-wage workers → exit. BSPS (British Steel Pension Scheme): DB pension accessible at 55; SSI workers aged 55-64 (~15% of total) likely all retire.,Proportion of 50+ cohort with sufficient pension entitlement to retire at 50-55 (depends on individual years of service).
redcar_2015,2016Q4,Q4 2016 (12 months post-closure),12,all,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,3,6,10,8,13,20,38,52,60,18,26,34,2,3,5,100,"off_all_benefits=93% (Task Force, HIGH). still_on_benefits=7% (Task Force). self_employment=8.3% (172/2070). RC LA claimant count BELOW baseline by Q4 2016.","still_seeking MID=3%: RC LA claimants at Q4 2016 already -284 below baseline. Most workers resolved. 3% still on JSA estimate. exit_ESA = 7% - still_seeking = 7-3 = 4%. exit_retirement: ~15% aged 55-64 (most retire) + ~7% aged 50-54 with long service = ~22%. exit_total MID = exit_ESA(4) + exit_retirement(22) = 26%. Constraint check: exit_ESA(4) + still_seeking(3) = 7% = still_on_benefits ✓. retrain MID=6%: 15,510 courses / 2070 = 7.5 courses per worker but mostly short refreshers. Genuine occupational change estimated at 6% (above Port Talbot near-zero; UK has better programmes). share_similar MID=13%: self-employment floor 8.3% + ~5% who found equivalent industrial work = 13%. underemployed MID = 100-3-26-6-13 = 52%. Sum check: 3+26+6+13+52 = 100 ✓. Consistency: retrain+share_similar+underemployed+exit_retirement = 6+13+52+22 = 93% = off_all_benefits ✓.",Hartz: 80%+ re-employment to lower-paying employer → underemployment dominant → supports 52% MID. Port Talbot: 16% into new jobs at 12 months (floor for share_similar+retrain = 19% here). China Shock: TAA retrain <10% take-up; most retrained workers underemployed not share_similar. Hartz 50+: systematic pension shift = EXIT → supports high exit estimate.,Size of early retirement cohort (depends on individual pension entitlements — not public data). Whether self-employed workers count as share_similar or underemployed (income not verified).
redcar_2015,2016Q4,Q4 2016 (12 months post-closure),12,16-24,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,7,12,20,10,18,28,45,55,65,4,8,14,3,7,12,100,No age-specific anchors available. Derived from aggregate + age-band adjustments.,exit MID=8%: no pension access; only disability (ESA) route. Rare at this age. retrain MID=12%: young workers more likely to change career; longer payback. share_similar MID=18%: more mobile; some left Teesside for equivalent roles. still_seeking MID=7%: above average — still searching for right role. underemployed = 100-8-12-18-7 = 55%. Sum: 8+12+18+7+55 = 100 ✓,China Shock: young workers more likely to relocate and find share_similar work. Hartz: younger workers had faster re-employment transitions.,Small cohort (~207 workers). Geographic mobility assumption — did young Redcar workers actually relocate?
redcar_2015,2016Q4,Q4 2016 (12 months post-closure),12,25-49,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,3,6,11,8,14,22,48,58,68,12,18,26,2,4,8,100,No age-specific anchors. Derived from aggregate + age-band adjustments.,exit MID=18%: limited pension access (mainly 45-49 subgroup with long service). retrain MID=6%: near-aggregate — family obligations limit but not prevent retraining. share_similar MID=14%: moderate — some equivalent roles found. still_seeking MID=4%: near average. underemployed = 100-18-6-14-4 = 58%. Sum: 18+6+14+4+58 = 100 ✓,Hartz 25-49: dominant re-employment to lower-paying employer. Mini-jobs + temp work concentration in this age group.,The 45-49 subgroup straddles two regimes (pension access vs not) — splitting at 45 vs 50 affects exit estimate significantly.
redcar_2015,2016Q4,Q4 2016 (12 months post-closure),12,50+,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,1,3,6,5,10,16,34,44,54,30,40,52,1,3,6,100,50%+ of workforce aged 45+ (DWP). Age-tiered hiring subsidy £15k for 45+ acknowledges higher exit risk.,"exit MID=40%: exit_ESA ~6% (disability higher at this age) + exit_retirement ~34% (workers aged 55-64 = ~15% of total workforce = 30% of 50+ cohort → most retire; plus 50-54 with long service = additional 10% of 50+ cohort → some retire early). Total retirement exit for 50+ cohort MID = 34%. exit_total = 40%. Constraint: exit_ESA + still_seeking should ≈ 7% at aggregate — 50+ cohort's contribution is exit_ESA=6, still_seeking=3 → 9% for this cohort; weighted by 50% of workforce: contributes 4.5% to the aggregate 7% (other cohorts contribute 2.5%). retrain MID=3%: Hartz shows 50+ not retrained — pushed to pension. Very short payback period. share_similar MID=10%: harder to place; age discrimination; £15k hiring subsidy helps at the margin. underemployed = 100-40-3-10-3 = 44%. Sum: 40+3+10+3+44 = 100 ✓",Hartz 50+: systematically pushed into pension system = EXIT (strongest applicable prior). China Shock: older workers → exit/disability (SSDI uptake elevated in trade-exposed regions). BSPS: workers aged 55-64 with DB pension can retire; 50-54 with 30+ service years can access early pension.,Pension entitlement data (years of service) is not publicly available. Age discrimination in re-employment is difficult to quantify.
redcar_2015,2017Q4,Q4 2017 (24 months post-closure),24,all,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,5,8,14,10,15,22,35,45,55,22,30,40,1,2,4,100,self_employment=15.2% (315/2070). area_wage_change=-0.5% real (vs +1.6% NE). claimant count returned to pre-closure baseline by Oct 2017.,"still_seeking MID=2%: claimant count at pre-closure baseline by Oct 2017. Essentially resolved. exit MID=30%: some additional workers who failed at job search moved to pension/disability by 24 months. More 50-54 workers with 2 years of failed search accepted early retirement. retrain MID=8%: delayed retraining completed. £9m invested in 23,000 courses by 2 years. Some workers who couldn't find work used the time to retrain. share_similar MID=15%: self-employment = 15.2% (315/2070) — this is the direct anchor. Note: some self-employed may be underemployed (lower income than pre-closure). underemployed MID = 100-2-30-8-15 = 45%. Sum check: 2+30+8+15+45 = 100 ✓. Wage check: area wages still -0.5% real → underemployment persists → 45% consistent.",Hartz: revolving door — workers cycle back to unemployment after unstable new jobs. Some who appeared re-employed at 12 months may have returned to unemployment by 24 months. China Shock: effects persisted to 2019 with no recovery 9 years after shock plateau. BUT: Redcar had £46m government support → better than unsupported closures.,Whether self-employment (15.2%) is genuinely share_similar or masked underemployment. Income data for the self-employed not available.
redcar_2015,2017Q4,Q4 2017 (24 months post-closure),24,16-24,manual — cross-episode reasoning + arithmetic constraints,ESTIMATED_LOW,10,18,28,12,22,32,35,45,55,3,7,13,1,3,6,95,No age-specific data at 24 months.,"retrain MID=18%: by 24 months, young workers who couldn't find work have completed retraining. share_similar MID=22%: 2 years is enough time to relocate and find equivalent work. exit MID=7%: only disability; no retirement. underemployed = 100-18-22-7-3 = 50. Sum: 18+22+7+3+50 = 100 ✓",Hartz: younger workers showed faster labour market recovery at 2 years than older workers.,Geographic mobility — whether young Redcar workers relocated or stayed in the area.
